Codes,All_ages,0-15,16-29,30-44,45-64,65+,Working-age,pop_dens,p_lone_house,p_one_house,p_notuk,p_social_rent,p_private_rent,p_apt,house_median,p_parent_unemp,p_emp,p_unemp,p_edu_0,p_edu_1,p_edu_2,p_edu_app,p_edu_3,p_edu_4,p_edu_other,p_act_0,p_act_1,p_act_2,p_healthy,p_healthok,p_unhealth,p_cars_0,p_cars_1,p_cars_2,p_cars_3,p_cars_4,p_ptal_0,p_ptal_2,p_ptal_4,med_income
E01000033,1361,363,269,284,290,155,843,93.7,20.8,29.6,20.4,52.0,5.8,33.3,172000,60.3,53.8,13.2,35.5,15.5,17.9,2.4,8.8,14.2,5.6,7.9,9.6,82.4,78.8,14.7,6.5,38.3,47.3,12.0,2.3,0.2,99.3,0.7,0.0,26046
E01000060,1809,499,299,426,341,244,1066,32.9,19.4,37.1,24.4,46.1,9.1,41.2,158000,54.5,55.9,12.0,31.0,15.9,14.7,2.4,9.7,18.7,7.6,8.5,9.6,81.9,80.5,13.9,5.6,41.8,44.0,12.2,1.3,0.6,60.6,39.4,0.0,27475
E01000061,1776,587,484,377,263,65,1124,29.1,34.4,28.7,25.6,84.9,3.7,95.3,116500,61.5,47.7,18.6,30.7,20.1,16.9,1.1,7.5,17.2,6.6,6.5,6.9,86.5,82.8,11.9,5.3,63.0,29.0,7.0,0.7,0.1,0.2,99.8,0.0,20982
E01000062,1952,488,345,404,443,272,1192,88.2,18.3,30.2,26.6,33.5,11.8,16.8,163000,52.9,56.4,12.3,31.3,15.6,14.3,3.3,9.5,19.3,6.7,9.9,9.0,81.0,80.5,13.1,6.5,36.0,45.7,15.2,2.5,0.5,77.2,22.8,0.0,29488
E01000064,1893,451,368,376,399,299,1143,90.7,20.7,27.9,23.3,29.5,16.5,25.2,142500,54.9,57.5,9.9,32.9,16.3,15.2,3.3,7.8,17.8,6.7,13.5,7.9,78.6,76.1,17.6,6.2,38.8,43.9,13.8,2.4,1.1,92.6,7.4,0.0,27803
E01000065,1736,390,304,406,336,300,1046,74.3,15.4,41.5,25.3,46.1,15.2,33.3,158750,42.2,54.6,11.4,35.7,15.2,13.3,1.5,7.5,17.2,9.5,13.7,10.5,75.7,73.8,15.6,10.6,47.5,38.8,11.2,1.9,0.5,24.0,76.0,0.0,26906
E01000078,1666,445,367,330,359,165,1056,94.8,23.9,28.7,22.8,39.4,14.5,15.6,155748,75.2,51.3,12.0,32.2,17.0,16.3,1.9,9.3,15.6,7.8,8.6,8.5,82.8,80.1,13.6,6.3,39.4,43.1,14.9,2.0,0.5,11.1,88.9,0.0,26060
E01000080,1556,397,305,371,308,175,984,67.3,20.5,28.8,24.9,35.9,14.8,12.5,158750,51.1,55.1,13.3,31.9,15.9,17.6,1.8,8.4,15.8,8.6,10.7,9.2,80.1,78.3,13.4,8.3,39.9,44.9,12.0,1.9,1.3,22.5,77.5,0.0,27194
E01000081,1688,418,317,353,412,188,1082,90.9,19.4,26.2,22.6,30.7,14.2,6.3,169000,55.2,57.2,8.8,32.4,16.1,18.5,2.5,8.3,15.2,6.9,8.9,8.5,82.5,80.3,13.1,6.6,31.3,49.4,16.5,2.3,0.5,58.3,41.7,0.0,28163
E01000082,1683,452,304,426,340,161,1070,104.7,17.6,33.2,22.5,39.7,12.6,19.4,155000,50.6,55.6,10.5,29.7,17.4,17.4,2.0,10.9,15.2,7.4,8.9,8.9,82.2,80.9,13.2,5.9,36.6,46.9,14.0,1.6,0.9,63.5,36.5,0.0,28215
E01000083,1700,457,316,408,323,196,1047,94.5,23.8,22.7,24.2,35.3,14.9,9.9,169000,55.0,56.0,10.6,31.9,15.4,16.7,1.9,9.8,16.2,8.0,10.2,8.7,81.1,78.9,13.9,7.2,37.5,46.7,12.2,3.0,0.5,4.4,95.6,0.0,27204
E01000102,1540,383,266,368,326,197,960,60.9,19.0,29.4,22.8,39.7,11.2,14.2,160000,50.0,56.9,11.3,32.0,13.5,15.0,1.6,10.6,18.6,8.7,11.2,7.7,81.1,78.8,14.0,7.3,36.8,45.9,14.6,2.2,0.5,31.4,68.6,0.0,28575
E01000021,1579,383,383,379,307,127,1069,93.3,20.2,31.9,33.1,27.5,28.2,26.5,160000,51.7,49.8,13.2,25.7,17.1,14.7,1.5,8.1,22.4,10.5,9.2,7.7,83.1,80.4,12.1,7.5,40.6,43.8,12.1,2.7,0.7,56.0,44.0,0.0,26285
E01000022,1314,350,258,303,285,118,846,102.4,23.6,21.7,26.3,25.9,15.4,4.2,165000,53.2,56.5,10.2,27.9,15.2,17.0,2.8,9.8,18.4,8.9,8.6,8.1,83.3,79.7,13.8,6.5,34.2,45.6,16.0,4.0,0.2,10.0,90.0,0.0,30295
E01000023,1112,231,260,306,204,111,770,53.7,13.4,39.8,37.6,27.2,25.8,63.1,179995,45.5,60.8,11.1,27.6,10.8,14.2,1.4,8.2,28.7,9.2,8.2,8.7,83.1,79.9,13.8,6.3,39.2,49.8,9.4,1.0,0.6,7.4,92.6,0.0,28842
E01000024,1336,366,263,311,277,119,851,103.9,22.1,21.5,29.1,28.7,16.4,4.5,169500,49.3,55.7,9.2,28.8,17.4,14.2,2.2,9.4,17.9,10.1,9.0,7.0,84.1,81.5,11.9,6.6,32.7,46.3,16.9,2.2,2.0,0.0,100.0,0.0,28298
E01000025,1609,391,317,369,367,165,1053,104.9,22.9,25.3,23.4,36.1,13.2,7.4,160500,51.4,57.7,10.7,32.5,14.5,16.4,1.6,9.5,16.1,9.4,9.8,7.5,82.7,79.3,13.1,7.6,35.5,47.5,13.7,3.0,0.3,5.7,94.3,0.0,28918
E01000077,1445,341,272,378,303,151,953,83.1,22.1,26.6,26.2,36.1,16.4,13.0,167250,52.8,56.5,11.8,31.4,17.0,16.4,2.2,8.3,15.6,9.1,10.0,9.6,80.5,78.7,13.8,7.5,39.5,45.5,13.4,1.1,0.5,0.0,100.0,0.0,26789
E01000015,2241,671,483,562,374,151,1419,79.9,26.0,23.3,27.8,32.2,24.6,29.3,150000,63.1,56.1,11.7,26.0,17.8,16.8,1.9,9.9,17.8,9.9,6.4,7.4,86.2,83.3,11.4,5.3,42.2,45.0,10.8,1.6,0.5,25.3,74.3,0.4,26807
E01000016,1637,421,297,364,367,188,1028,82.3,18.5,28.1,19.9,36.1,14.2,7.5,159995,59.3,57.9,9.1,34.6,17.4,16.0,2.1,8.6,14.5,6.7,8.9,6.7,84.5,82.0,11.5,6.4,34.8,47.8,13.3,3.5,0.6,55.6,44.4,0.0,28484
E01000017,1594,403,304,374,351,162,1029,100.6,18.6,29.2,25.9,39.2,12.0,12.6,167500,58.1,55.1,8.8,31.3,14.0,13.7,1.8,10.7,19.7,8.7,9.7,9.2,81.1,79.5,13.3,7.2,37.4,41.7,17.6,2.3,1.0,3.7,96.3,0.0,27591
E01000018,1597,429,275,392,329,172,996,91.9,22.5,25.8,23.0,38.2,10.9,4.5,162000,65.0,57.1,10.4,32.0,16.4,16.7,1.9,8.7,16.9,7.4,9.1,7.6,83.3,80.4,13.3,6.3,36.8,45.4,14.5,2.1,1.1,26.5,72.4,1.1,28721
E01000079,1546,411,278,315,327,215,920,49.9,19.2,31.9,22.8,37.3,13.5,12.0,146000,59.7,53.7,10.6,33.0,15.2,14.9,1.7,9.4,18.0,7.8,12.7,9.1,78.3,77.0,14.4,8.7,42.2,39.7,14.1,3.3,0.7,41.9,58.1,0.0,27333
E01000035,1610,373,319,316,377,225,1012,40.5,16.9,26.6,26.1,19.2,16.8,32.4,180000,53.5,57.8,9.2,28.6,16.1,16.2,1.8,7.9,20.9,8.5,8.8,7.9,83.3,80.1,13.2,6.8,29.3,52.4,13.4,3.5,1.4,17.9,82.1,0.0,31571
E01000036,1353,300,264,296,342,151,902,32.3,10.7,20.9,29.9,4.1,17.5,10.2,202500,51.7,63.0,6.3,25.5,16.4,15.2,2.5,10.0,22.8,7.7,5.3,8.2,86.5,84.4,12.3,3.3,25.4,48.2,19.4,6.4,0.6,0.0,100.0,0.0,36530
E01000107,1666,385,282,319,398,282,999,31.1,17.5,21.8,21.4,14.6,14.0,18.5,175000,49.3,58.9,9.3,33.6,14.5,16.3,3.4,7.9,15.5,8.9,9.2,8.2,82.5,79.6,14.5,5.9,26.5,49.6,17.6,5.0,1.3,75.6,24.4,0.0,32732
