Codes,All_ages,0-15,16-29,30-44,45-64,65+,Working-age,pop_dens,p_lone_house,p_one_house,p_notuk,p_social_rent,p_private_rent,p_apt,house_median,p_parent_unemp,p_emp,p_unemp,p_edu_0,p_edu_1,p_edu_2,p_edu_app,p_edu_3,p_edu_4,p_edu_other,p_act_0,p_act_1,p_act_2,p_healthy,p_healthok,p_unhealth,p_cars_0,p_cars_1,p_cars_2,p_cars_3,p_cars_4,p_ptal_0,p_ptal_2,p_ptal_4,med_income
E01000043,1358,352,254,318,256,178,828,51.0,15.2,25.4,34.6,33.6,13.7,12.8,225000,43.2,53.7,11.1,31.8,14.0,12.1,1.8,10.0,19.2,11.0,9.5,8.7,81.8,79.0,13.6,7.4,36.7,43.8,15.4,3.9,0.2,47.3,52.7,0.0,28391
E01000050,1661,446,362,371,291,191,1024,120.6,18.2,31.2,46.9,38.9,19.7,38.1,188500,49.4,48.0,11.8,28.0,10.0,11.6,1.7,9.1,26.3,13.3,10.2,7.7,82.1,78.5,14.0,7.5,47.6,42.9,8.1,1.1,0.2,0.0,58.6,41.4,27238
E01000052,2014,528,396,511,379,200,1286,100.9,19.5,29.6,43.1,27.3,21.6,17.3,149500,49.5,57.3,8.7,25.6,13.1,11.6,1.6,9.9,24.6,13.5,8.1,8.0,83.9,80.0,13.4,6.6,43.7,45.4,9.5,1.2,0.3,9.0,91.0,0.0,27835
E01000092,2674,749,561,674,454,236,1689,10.1,18.8,26.3,40.9,34.8,19.3,30.9,175000,55.8,56.4,13.5,22.8,12.7,14.9,1.9,8.9,27.1,11.8,8.1,7.0,85.0,82.5,11.8,5.7,40.3,44.2,13.0,2.2,0.3,55.8,44.2,0.0,31867
E01000053,1485,366,280,366,314,159,960,82.1,16.3,37.4,31.9,37.1,25.0,37.4,112000,60.0,57.9,11.4,28.8,17.7,13.4,1.8,7.5,20.6,10.2,11.8,9.2,79.0,77.3,14.3,8.4,45.7,41.7,10.2,1.7,0.6,59.7,40.3,0.0,27119
E01000087,1341,340,257,307,310,127,874,36.0,20.3,26.2,27.7,32.6,19.9,20.5,160000,48.7,57.4,9.9,30.5,16.3,18.8,2.1,7.3,17.4,7.7,10.0,8.1,82.0,79.3,13.8,6.9,38.8,42.3,15.7,3.0,0.2,41.9,58.1,0.0,27487
E01000088,1828,461,349,413,360,245,1122,80.7,17.8,26.3,36.9,11.6,27.0,20.3,159000,48.9,57.9,8.9,30.6,12.8,15.1,2.3,8.4,21.9,8.8,10.2,7.1,82.8,80.6,14.2,5.2,35.6,47.5,13.6,2.8,0.5,59.0,41.0,0.0,32049
E01000089,1666,452,344,329,397,144,1070,114.5,24.0,21.6,31.9,7.8,22.4,8.7,150000,50.0,60.0,9.0,25.4,17.4,16.4,2.2,10.8,21.1,6.8,7.5,7.1,85.4,84.4,11.5,4.1,33.0,44.6,17.6,3.9,0.8,68.7,31.3,0.0,29207
E01000090,1584,456,294,347,347,140,988,8.1,21.1,20.0,36.9,7.3,26.6,12.0,150000,47.1,58.6,9.0,25.3,15.2,14.4,2.0,10.1,23.0,10.0,6.6,6.4,87.1,84.5,11.0,4.5,33.9,46.8,14.8,4.2,0.4,39.4,60.6,0.0,31268
E01000048,1783,654,355,460,242,72,1057,275.6,26.4,29.8,51.0,81.5,10.6,94.1,129000,59.9,44.2,18.7,28.5,14.3,14.8,1.3,7.4,19.5,14.2,6.2,6.3,87.4,84.5,9.1,6.3,60.2,34.2,5.3,0.2,0.2,41.9,58.1,0.0,20719
E01000049,1820,649,331,468,252,120,1051,85.8,25.5,26.0,44.7,66.7,9.6,71.6,135000,65.7,47.0,17.1,29.2,12.4,13.8,1.0,10.7,20.7,12.2,6.4,7.4,86.3,83.0,11.8,5.2,54.0,40.0,5.1,0.8,0.2,37.8,62.2,0.0,23697
E01000051,1927,657,412,522,287,49,1221,288.9,25.5,32.4,51.9,76.1,8.4,96.0,137000,67.3,42.1,17.9,26.5,12.9,14.8,1.2,9.2,22.9,12.5,6.4,7.6,86.0,82.0,12.3,5.7,60.7,35.0,3.7,0.4,0.1,0.0,56.8,43.2,20461
E01033587,1630,471,399,522,193,45,1114,61.3,21.6,26.9,49.8,39.0,34.5,96.5,135000,50.4,59.7,12.4,17.2,12.3,10.5,0.9,9.5,34.0,15.6,6.1,4.9,89.0,85.5,9.9,4.7,57.7,36.0,5.2,1.0,0.2,26.0,74.0,0.0,26815
E01033588,1617,517,318,500,203,79,1021,115.9,25.6,25.1,50.9,50.0,24.9,96.0,156000,49.6,56.8,12.2,23.2,11.5,11.1,0.8,9.3,28.5,15.5,6.1,6.2,87.7,85.3,10.0,4.7,54.2,40.5,4.7,0.6,0.0,50.8,45.7,3.6,26508
E01000091,1714,546,334,376,300,158,1010,69.6,22.3,30.8,33.5,55.3,14.7,49.8,171250,61.9,51.3,13.3,32.0,15.7,13.7,2.5,8.1,17.6,10.4,7.4,9.9,82.7,79.3,14.4,6.3,48.3,40.1,7.1,3.5,0.9,91.9,8.1,0.0,23715
E01000093,1547,432,357,377,273,108,1007,52.7,19.2,38.3,33.0,57.6,15.0,63.2,178500,54.5,51.2,13.8,27.4,16.2,14.3,2.2,10.0,19.0,10.8,9.2,9.9,80.9,77.2,14.5,8.3,53.7,37.9,6.9,1.4,0.2,85.5,14.5,0.0,24370
E01000094,1326,400,267,470,164,25,901,22.0,20.7,27.9,44.1,24.8,27.1,57.7,160000,53.6,63.6,9.9,12.7,11.8,14.0,2.1,10.4,37.4,11.7,3.8,3.5,92.8,90.0,6.6,3.4,37.1,49.7,12.4,0.2,0.6,87.6,12.4,0.0,33214
E01000096,1895,659,422,436,280,98,1138,31.5,30.4,22.8,37.0,66.2,10.5,65.2,165000,65.2,48.0,15.4,25.0,19.1,16.7,1.7,8.1,19.8,9.6,6.1,7.5,86.4,82.6,12.5,5.0,51.3,41.3,6.4,0.8,0.2,90.5,9.5,0.0,23269
E01000019,1407,377,267,301,325,137,893,76.5,23.6,22.4,29.9,25.0,18.1,7.0,170000,54.2,54.3,13.4,28.7,15.3,16.5,2.1,8.1,20.1,9.1,8.0,9.4,82.7,79.5,13.8,6.8,37.5,40.9,17.9,2.6,1.2,39.8,60.2,0.0,28659
E01000020,1834,477,323,471,342,221,1136,98.0,16.9,29.4,25.7,31.8,14.5,17.0,155000,48.9,55.1,11.4,29.6,14.7,14.8,2.7,9.6,20.6,8.0,10.0,8.8,81.2,79.5,11.9,8.6,33.5,46.8,14.9,3.5,1.2,3.6,96.4,0.0,28850
E01000097,1683,411,274,387,307,304,968,93.9,15.7,36.0,22.6,45.3,13.7,16.7,196500,48.9,57.6,9.2,36.7,15.6,13.3,1.7,7.9,18.0,6.8,12.6,9.0,78.4,76.5,14.1,9.4,43.5,41.5,12.4,2.1,0.4,0.0,92.4,7.6,28026
E01000098,1746,470,342,408,364,162,1114,99.5,22.7,23.5,27.4,35.4,20.2,20.5,207000,45.3,54.1,13.6,30.5,16.5,15.9,1.6,8.8,17.3,9.4,8.6,9.1,82.2,79.4,13.6,7.0,35.0,45.8,15.5,3.0,0.6,0.0,100.0,0.0,27315
E01000099,1732,449,334,408,352,189,1094,55.9,19.1,24.6,20.9,33.2,13.7,7.5,205000,49.4,59.0,11.0,30.9,17.1,13.6,2.4,9.6,18.2,8.2,9.4,7.6,83.1,79.3,14.2,6.5,34.5,44.6,16.5,3.5,0.9,1.8,98.2,0.0,29852
E01032580,1354,362,332,327,237,96,896,105.9,22.7,22.1,38.9,30.6,31.6,20.5,176500,55.7,51.4,10.6,21.8,14.6,14.0,1.8,10.1,22.3,15.4,6.6,8.3,85.0,83.5,11.6,4.9,34.0,45.0,16.8,3.4,0.8,0.0,100.0,0.0,27638
